任务号,接口ID,方法,路径,依据,状态,证据,提交
T01,,,,工程骨架与统一契约,已实现(16例),evidence/green-T01.txt,
T02,,,,Flyway 迁移与持久层底座,已实现(26例),evidence/green-T02.txt,
T03,AUTH-01,POST,/auth/sms/send,真源,已实现(35例),evidence/green-T03.txt,
T03,AUTH-02,POST,/auth/sms/login,真源,已实现(35例),evidence/green-T03.txt,
T03,AUTH-03,POST,/auth/wechat/login,真源,已实现(35例),evidence/green-T03.txt,
T03,AUTH-04,POST,/auth/refresh,推断,已实现(35例),evidence/green-T03.txt,
T03,AUTH-05,POST,/auth/logout,真源,已实现(35例),evidence/green-T03.txt,
T03,AUTH-06,GET,/auth/me,真源+约定,已实现(35例),evidence/green-T03.txt,
T04,PROV-01,GET,/provider/profile,真源,已实现(44例),evidence/green-T04.txt,
T04,PROV-02,PUT,/provider/profile,真源+约定,已实现(44例),evidence/green-T04.txt,
T04,PROV-03,GET,/provider/qualifications,真源,已实现(44例),evidence/green-T04.txt,
T04,PROV-04,POST,/provider/qualifications,真源,已实现(44例),evidence/green-T04.txt,
T04,PROV-05,DELETE,/provider/qualifications/{id},真源,已实现(44例),evidence/green-T04.txt,
T05,CRED-01,GET,/credentials,真源,已实现(61例),evidence/green-T05.txt,
T05,CRED-02,POST,/credentials,推断,已实现(61例),evidence/green-T05.txt,
T05,CRED-03,GET,/credentials/{id},真源,已实现(61例),evidence/green-T05.txt,
T05,CRED-04,PUT,/credentials/{id},真源,已实现(61例),evidence/green-T05.txt,
T05,CRED-05,POST,/credentials/{id}/precheck,真源,已实现(61例),evidence/green-T05.txt,
T05,CRED-06,GET,/credentials/{id}/precheck/latest,推断,已实现(61例),evidence/green-T05.txt,
T05,CRED-07,POST,/credentials/{id}/reveal,真源,已实现(61例),evidence/green-T05.txt,
T06,DET-01,POST,/detection-jobs,真源,已实现(83例),evidence/green-T06.txt,
T06,DET-02,GET,/detection-jobs/{jobId},真源,已实现(83例),evidence/green-T06.txt,
T06,DET-03,GET,/detection-jobs/{jobId}/results,真源,已实现(83例),evidence/green-T06.txt,
T06,DET-04,GET,/detection-jobs/{jobId}/results/{probeCode},推断,已实现(83例),evidence/green-T06.txt,
T06,DET-05,POST,/detection-jobs/{jobId}/cancel,推断,已实现(83例),evidence/green-T06.txt,
T06,DET-06,POST,/detection-jobs/{jobId}/release,真源,已实现(83例),evidence/green-T06.txt,
T07,RPT-01,GET,/reports,真源,已实现(90例),evidence/green-T07.txt,
T07,RPT-02,GET,/reports/{reportId},真源,已实现(90例),evidence/green-T07.txt,
T07,RPT-03,GET,/reports/{reportId}/html,推断,已实现(90例),evidence/green-T07.txt,
T07,RPT-04,GET,/reports/{reportId}/export,真源,已实现(90例),evidence/green-T07.txt,
T08,QT-01,GET,/quotes,真源,已实现(105例),evidence/green-T08-full.txt,
T08,QT-02,POST,/quotes,真源,已实现(105例),evidence/green-T08-full.txt,
T08,QT-03,GET,/quotes/{quoteId},真源,已实现(105例),evidence/green-T08-full.txt,
T08,QT-04,DELETE,/quotes/{quoteId},真源,已实现(105例),evidence/green-T08-full.txt,
T08,QT-05,POST,/quotes/{quoteId}/items,真源,已实现(105例),evidence/green-T08-full.txt,
T08,QT-06,GET,/quotes/{quoteId}/items,真源,已实现(105例),evidence/green-T08-full.txt,
T08,QT-07,GET,/quotes/items/{itemId},真源,已实现(105例),evidence/green-T08-full.txt,
T08,QT-08,PUT,/quotes/items/{itemId},真源,已实现(105例),evidence/green-T08-full.txt,
T08,QT-09,POST,/quotes/{quoteId}/submit,真源,已实现(105例),evidence/green-T08-full.txt,
T08,QT-10,POST,/quotes/{quoteId}/withdraw,真源,已实现(105例),evidence/green-T08-full.txt,
T08,QT-11,GET,/quotes/{quoteId}/versions,推断,已实现(105例),evidence/green-T08-full.txt,
T09,QT-12,POST,/quotes/{quoteId}/compile-preview,真源,已实现(120例),evidence/green-T09-full.txt,
T09,ADM-Q01,POST,/admin/quotes/{id}/compile,真源,已实现(120例),evidence/green-T09-full.txt,
T09,ADM-CP01,GET,/admin/compilations,真源,已实现(120例),evidence/green-T09-full.txt,
T09,ADM-CP02,GET,/admin/compilations/{id},真源,已实现(120例),evidence/green-T09-full.txt,
T09,ADM-CP03,POST,/admin/compilations/{id}/verify,真源,已实现(120例),evidence/green-T09-full.txt,
T09,ADM-CP04,POST,/admin/compilations/{id}/confirm,真源,已实现(120例),evidence/green-T09-full.txt,
T10,ADM-R01,GET,/admin/reviews,真源,已实现(12例),evidence/green-T10.txt,feat(aap-server): T10 审核
T10,ADM-R02,POST,/admin/reviews/{id}/claim,真源,已实现(12例),evidence/green-T10.txt,feat(aap-server): T10 审核
T10,ADM-R03,POST,/admin/reviews/{id}/approve,真源,已实现(12例),evidence/green-T10.txt,feat(aap-server): T10 审核
T10,ADM-R04,POST,/admin/reviews/{id}/reject,真源,已实现(12例),evidence/green-T10.txt,feat(aap-server): T10 审核
T10,ADM-R05,GET,/admin/reviews/records,推断,已实现(12例),evidence/green-T10.txt,feat(aap-server): T10 审核
T11,CON-01,GET,/contracts,真源,已实现(13例),evidence/green-T11.txt,feat(aap-server): T11 合同/打款/结算
T11,CON-02,GET,/contracts/{id},真源,已实现(13例),evidence/green-T11.txt,feat(aap-server): T11 合同/打款/结算
T11,CON-03,GET,/contracts/{id}/file,真源,已实现(13例),evidence/green-T11.txt,feat(aap-server): T11 合同/打款/结算
T11,CON-04,POST,/contracts/{id}/sign,真源,已实现(13例),evidence/green-T11.txt,feat(aap-server): T11 合同/打款/结算
T11,PAY-01,GET,/payments,真源+约定,已实现(13例),evidence/green-T11.txt,feat(aap-server): T11 合同/打款/结算
T11,ADM-CT01,GET,/admin/contracts,真源,已实现(13例),evidence/green-T11.txt,feat(aap-server): T11 合同/打款/结算
T11,ADM-CT02,POST,/admin/contracts/{id}/issue,真源,已实现(13例),evidence/green-T11.txt,feat(aap-server): T11 合同/打款/结算
T11,ADM-CT03,POST,/admin/contracts/{id}/confirm-sign,真源,已实现(13例),evidence/green-T11.txt,feat(aap-server): T11 合同/打款/结算
T11,ADM-PAY01,GET,/admin/payments,真源,已实现(13例),evidence/green-T11.txt,feat(aap-server): T11 合同/打款/结算
T11,ADM-PAY02,POST,/admin/payments/{id}/confirm,真源,已实现(13例),evidence/green-T11.txt,feat(aap-server): T11 合同/打款/结算
T11,ADM-PAY03,GET,/admin/settlements,真源,已实现(13例),evidence/green-T11.txt,feat(aap-server): T11 合同/打款/结算
T12,USE-01,GET,/usage/summary,真源,已实现(18例),evidence/green-T12.txt,feat(aap-server): T12 用量
T12,USE-02,GET,/usage/hourly,真源,已实现(18例),evidence/green-T12.txt,feat(aap-server): T12 用量
T12,ADM-U01,GET,/admin/usage/hourly,真源,已实现(18例),evidence/green-T12.txt,feat(aap-server): T12 用量
T12,ADM-U02,POST,/admin/usage/refresh,真源,已实现(18例),evidence/green-T12.txt,feat(aap-server): T12 用量
T13,NTF-01,GET,/notifications,真源+推断,已实现(8例),evidence/green-T13.txt,feat(aap-server): T13 站内信/审计
T13,NTF-02,POST,/notifications/{id}/read,真源,已实现(8例),evidence/green-T13.txt,feat(aap-server): T13 站内信/审计
T13,ADM-A01,GET,/admin/audit-logs,真源,已实现(8例),evidence/green-T13.txt,feat(aap-server): T13 站内信/审计
T14,ADM-S01,GET,/admin/sync/tasks,真源,已实现(8例),evidence/green-T14-sync.txt,feat(aap-server): T14 new-api 同步运维
T14,ADM-S02,GET,/admin/sync/tasks/{taskId},真源,已实现(8例),evidence/green-T14-sync.txt,feat(aap-server): T14 new-api 同步运维
T14,ADM-S03,POST,/admin/sync/tasks/{taskId}/retry,真源,已实现(8例),evidence/green-T14-sync.txt,feat(aap-server): T14 new-api 同步运维
T14,ADM-S04,GET,/admin/channel-bindings,推断,已实现(8例),evidence/green-T14-sync.txt,feat(aap-server): T14 new-api 同步运维
T14,ADM-S05,POST,/admin/channel-bindings/{bindingId}/status,真源,已实现(8例),evidence/green-T14-sync.txt,feat(aap-server): T14 new-api 同步运维
T14,ADM-S06,GET,/admin/sync/models/upstream,真源,已实现(8例),evidence/green-T14-sync.txt,feat(aap-server): T14 new-api 同步运维
T14,ADM-P01,GET,/admin/providers,推断,已实现(8例),evidence/green-T14-batch4.txt,feat(aap-server): T14 批次四（ADM-P01…03、ADM-C01/02、ADM-Q02）
T14,ADM-P02,POST,/admin/providers/{id}/suspend,真源,已实现(8例),evidence/green-T14-batch4.txt,feat(aap-server): T14 批次四（ADM-P01…03、ADM-C01/02、ADM-Q02）
T14,ADM-P03,POST,/admin/providers/{id}/resume,真源,已实现(8例),evidence/green-T14-batch4.txt,feat(aap-server): T14 批次四（ADM-P01…03、ADM-C01/02、ADM-Q02）
