== R68 全量 rc 序列（14 套只读审计 + 12 套抽查 + 25 个负向自测 = 51 条） ==
与 R67 逐条比对（含参数）：共有条目 rc 不一致 = 0 条；R68 新增 = ['spotcheck-http-method', 'spotcheck-http-method-selftest']；R67 有而 R68 缺 = []
（逐条明细见 audit-regression-R68-faildiff.txt）

gen-check rc=0
openapi-parses rc=0
endpoint-tests rc=0
contract-keys rc=0
auth-contract rc=1
routes rc=0
error-codes rc=1
query-params rc=1
time-format rc=0
enum-sets rc=1
response-shape rc=1
id-types rc=1
request-body rc=1
secret-leak rc=0
spotcheck-required rc=1
spotcheck-unique rc=1
spotcheck-success-shape rc=1
spotcheck-string-length rc=1
spotcheck-numeric-range rc=1
spotcheck-idempotency rc=1
spotcheck-lock rc=1
spotcheck-throttle rc=1
spotcheck-audit-cols rc=1
spotcheck-state-machine rc=1
spotcheck-tx-boundary rc=1
spotcheck-http-method rc=0
gen-selftest rc=0
endpoint-tests-selftest rc=0
contract-keys-selftest rc=0
auth-contract-selftest rc=0
routes-selftest rc=0
error-codes-selftest rc=0
query-params-selftest rc=0
time-format-selftest rc=0
enum-sets-selftest rc=0
response-shape-selftest rc=0
id-types-selftest rc=0
request-body-selftest rc=0
secret-leak-selftest rc=0
spotcheck-required-selftest rc=0
spotcheck-unique-selftest rc=0
spotcheck-success-shape-selftest rc=0
spotcheck-string-length-selftest rc=0
spotcheck-numeric-range-selftest rc=0
spotcheck-idempotency-selftest rc=0
spotcheck-lock-selftest rc=0
spotcheck-throttle-selftest rc=0
spotcheck-audit-cols-selftest rc=0
spotcheck-state-machine-selftest rc=0
spotcheck-tx-boundary-selftest rc=0
spotcheck-http-method-selftest rc=0
