# R159 第 2 轮全量测试（worktree 检出 44ef395）
窗口 = [2026-09-21 00:37:01, 2026-09-21 00:38:02]  rc = 0  Total time = 59.584 s
合计 = Tests run: 211, Failures: 0, Errors: 0, Skipped: 0
类数 = 34
（逐类行已剥 Time elapsed，坑 59/79）

Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.adminconfig.DetectionConfigContractTest
Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.adminconfig.ReportTemplateContractTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.adminconfig.ReportTemplateWordingTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.common.ApiContractTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.common.ApiEnvelopeTest
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.common.LoggingAndHealthTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.common.MigrationTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.common.OutboundUrlGuardTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.common.PersistenceBaseTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.compile.BillingCompilerTest
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.compile.CompilationContractTest
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.contract.ContractContractTest
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.coverage.EndpointCoverageTest
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.credential.AdminCredentialContractTest
Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.credential.CredentialContractTest
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.detection.DetectionContractTest
Tests run: 13, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.detection.ProbeScoringTest
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.detection.RecheckServiceTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.file.FileContractTest
Tests run: 11, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.iam.AuthContractTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.provider.AdminProviderContractTest
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.provider.ProviderContractTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.quote.AdminQuoteCompareContractTest
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.quote.QuoteContractTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.quote.QuoteValidationTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.report.ReportContractTest
Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.review.ReviewContractTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.settlement.PaymentContractTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.support.NotificationContractTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.sync.SyncAdminContractTest
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.ToolchainSmokeTest
Tests run: 11, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.usage.UsageContractTest
Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.usage.UsageMetricsTest
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, -- in com.hioas.aap.usage.UsageRefreshDegradedTest
[INFO] BUILD SUCCESS
