=== R30 全量 run2（工作树现状，串行执行、无并发测试进程）===
来源：C:\Users\laitz\AppData\Local/Temp/r30-run2.log （mvn -B -ntp test，经 tools/with-env.sh aap-server 注入仓库外密钥；密钥值不回显）
生成时间：2026-09-18T14:07:20+0800

--- 总账 ---
[INFO] Tests run: 204, Failures: 0, Errors: 0, Skipped: 0
[INFO] BUILD SUCCESS
[INFO] Total time:  49.421 s
日志中 [ERROR] 行数：0

--- 逐测试类结果（surefire 汇总行）---
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 10.19 s -- in com.hioas.aap.adminconfig.DetectionConfigContractTest
Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.049 s -- in com.hioas.aap.adminconfig.ReportTemplateContractTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in com.hioas.aap.adminconfig.ReportTemplateWordingTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.763 s -- in com.hioas.aap.common.ApiContractTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.011 s -- in com.hioas.aap.common.ApiEnvelopeTest
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.249 s -- in com.hioas.aap.common.LoggingAndHealthTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.977 s -- in com.hioas.aap.common.MigrationTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.033 s -- in com.hioas.aap.common.OutboundUrlGuardTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.199 s -- in com.hioas.aap.common.PersistenceBaseTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.019 s -- in com.hioas.aap.compile.BillingCompilerTest
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.510 s -- in com.hioas.aap.compile.CompilationContractTest
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.105 s -- in com.hioas.aap.contract.ContractContractTest
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.097 s -- in com.hioas.aap.coverage.EndpointCoverageTest
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.559 s -- in com.hioas.aap.credential.AdminCredentialContractTest
Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.958 s -- in com.hioas.aap.credential.CredentialContractTest
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.765 s -- in com.hioas.aap.detection.DetectionContractTest
Tests run: 13, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.025 s -- in com.hioas.aap.detection.ProbeScoringTest
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.438 s -- in com.hioas.aap.detection.RecheckServiceTest
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.104 s -- in com.hioas.aap.iam.AuthContractTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.694 s -- in com.hioas.aap.provider.AdminProviderContractTest
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.210 s -- in com.hioas.aap.provider.ProviderContractTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.553 s -- in com.hioas.aap.quote.AdminQuoteCompareContractTest
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.017 s -- in com.hioas.aap.quote.QuoteContractTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.012 s -- in com.hioas.aap.quote.QuoteValidationTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.109 s -- in com.hioas.aap.report.ReportContractTest
Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 4.500 s -- in com.hioas.aap.review.ReviewContractTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.070 s -- in com.hioas.aap.settlement.PaymentContractTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.460 s -- in com.hioas.aap.support.NotificationContractTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.226 s -- in com.hioas.aap.sync.SyncAdminContractTest
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in com.hioas.aap.ToolchainSmokeTest
Tests run: 11, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 3.769 s -- in com.hioas.aap.usage.UsageContractTest
Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in com.hioas.aap.usage.UsageMetricsTest
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.061 s -- in com.hioas.aap.usage.UsageRefreshDegradedTest
