== R71 逐类结果比对（run1 vs run2） ==
纪律：先剥 Time elapsed 再排序（坑 59/79）；解析到 0 个类必须判解析器失效（坑 46）

parsed_classes_run1=33 parsed_classes_run2=33
per_class_diff=0（33 个类逐类一致）

--- 逐类明细（33 类，已剥耗时） ---
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.ToolchainSmokeTest
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.coverage.EndpointCoverageTest
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.usage.UsageRefreshDegradedTest
Tests run: 11, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.usage.UsageContractTest
Tests run: 12, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.credential.CredentialContractTest
Tests run: 12, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.review.ReviewContractTest
Tests run: 13, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.detection.ProbeScoringTest
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.common.LoggingAndHealthTest
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.credential.AdminCredentialContractTest
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.detection.RecheckServiceTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.adminconfig.ReportTemplateWordingTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.provider.AdminProviderContractTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.quote.AdminQuoteCompareContractTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.settlement.PaymentContractTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.common.ApiEnvelopeTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.common.MigrationTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.common.OutboundUrlGuardTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.common.PersistenceBaseTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.report.ReportContractTest
Tests run: 6, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.adminconfig.ReportTemplateContractTest
Tests run: 6, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.usage.UsageMetricsTest
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.adminconfig.DetectionConfigContractTest
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.compile.CompilationContractTest
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.quote.QuoteContractTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.common.ApiContractTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.compile.BillingCompilerTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.quote.QuoteValidationTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.support.NotificationContractTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.sync.SyncAdminContractTest
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.contract.ContractContractTest
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.detection.DetectionContractTest
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.iam.AuthContractTest
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.provider.ProviderContractTest
