Tests run: 1, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.coverage.EndpointCoverageTest
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.ToolchainSmokeTest
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.usage.UsageRefreshDegradedTest
Tests run: 11, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.usage.UsageContractTest
Tests run: 12, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.credential.CredentialContractTest
Tests run: 12, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.review.ReviewContractTest
Tests run: 13, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.detection.ProbeScoringTest
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.common.LoggingAndHealthTest
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.credential.AdminCredentialContractTest
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.detection.RecheckServiceTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.adminconfig.ReportTemplateWordingTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.provider.AdminProviderContractTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.quote.AdminQuoteCompareContractTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.settlement.PaymentContractTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.common.ApiEnvelopeTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.common.MigrationTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.common.OutboundUrlGuardTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.common.PersistenceBaseTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.report.ReportContractTest
Tests run: 6, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.adminconfig.ReportTemplateContractTest
Tests run: 6, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.usage.UsageMetricsTest
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.adminconfig.DetectionConfigContractTest
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.compile.CompilationContractTest
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.quote.QuoteContractTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.common.ApiContractTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.compile.BillingCompilerTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.quote.QuoteValidationTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.support.NotificationContractTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.sync.SyncAdminContractTest
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.contract.ContractContractTest
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.detection.DetectionContractTest
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.iam.AuthContractTest
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0 -- in com.hioas.aap.provider.ProviderContractTest
