file: .agents/state/evidence/review-序号3-checks-run1.json
checkCount=160 checkFailCount=15 overflowingCount=0 docScrollWidth=430 innerWidth=430
missingTexts=[]
FAIL topbar.height                got=69 want=68
FAIL topbar.hairlineY             got=None want=1
FAIL topbar.hairlineBlur          got=None want=0
FAIL topbar.hairlineColor         got=None want=rgba(241,245,249,1)
FAIL topLeft.gap                  got=99 want=12
FAIL title.fontWeight             got=600 want=700
FAIL submitText.fontWeight        got=400 want=600
FAIL listTitle.fontWeight         got=600 want=700
FAIL chipCount.fontWeight         got=400 want=700
FAIL head.thFontWeight            got=400 want=600
FAIL row.alias.fontWeight         got=400 want=600
FAIL row.models.fontWeight        got=400 want=500
FAIL row.report.fontWeight        got=400 want=500
FAIL tabbar.item0.w               got=100 want=76
FAIL tabbar.item3.w               got=100 want=76
共 160 条 check，其中 15 条与设计稿不符
