file: .agents/state/evidence/review-序号4-checks-red-run1.json
checkCount=206 checkFailCount=45 overflowingCount=0 docScrollWidth=430 innerWidth=430
missingTexts=['华东主线路 · GPT 通道', 'https://api.example-llm.com/v1']
FAIL topbar.height                got=84 want=96
FAIL backBox.w                    got=24 want=26
FAIL backBox.h                    got=24 want=36
FAIL backBox.centerY              got=60 want=66
FAIL card0.top                    got=96 want=108
FAIL card0.h                      got=126 want=133
FAIL card1.top                    got=234 want=253
FAIL card1.h                      got=169 want=172
FAIL card2.top                    got=415 want=437
FAIL card2.h                      got=132 want=137
FAIL card3.top                    got=560 want=586
FAIL card3.h                      got=343 want=354
FAIL card0.bottom                 got=222 want=241
FAIL card3.bottom                 got=903 want=940
FAIL label.lineHeight             got=15.6 want=18
FAIL label.h                      got=16 want=18
FAIL label.rowGapToField          got=0 want=8
FAIL inputBox.w                   got=356 want=358
FAIL fieldGlyph.w                 got=14 want=20
FAIL fieldGlyph2.w                got=14 want=20
FAIL keyGlyph.w                   got=12 want=20
FAIL hint.count                   got=2 want=3
FAIL hint.h                       got=22 want=21
FAIL hintGlyph.w                  got=12 want=16
FAIL hintText.gap                 got=6 want=4
FAIL hintTexts                    got=建议 6–24 字|如已轮换密钥，请在此更新后重新检测 want=建议 6–24 字|如已轮换密钥，请在此更新后重新检测|建议 6–24 字
FAIL note.h                       got=54 want=56
FAIL note.topGap                  got=150 want=12
FAIL noteGlyph.w                  got=14 want=20
FAIL confChip.right               got=393 want=394
FAIL confChipGlyph.w              got=9 want=14
FAIL confChip.fontWeight          got=600 want=500
FAIL editBox.w                    got=24 want=20
FAIL editBox.h                    got=24 want=27
FAIL modelsCard.titleRowH         got=22 want=18
FAIL modelsNote.h                 got=13 want=16
FAIL vendor.w                     got=356 want=358
FAIL vendor.h0                    got=124 want=126
FAIL vendor.h1                    got=96 want=98
FAIL vendorName.lineHeight        got=15.6 want=18
FAIL vendorName.h                 got=16 want=18
FAIL modelName.lineHeight         got=15.6 want=18
FAIL more.h                       got=13 want=16
FAIL ghost.strokeDeclaredWidth    got=None want=1px
FAIL submitGlyph.w                got=14 want=22
共 206 条 check，其中 45 条与设计稿不符
