warning: Failed to set cwd to temp dir
序号 | 路由 | js/json/wxml | wxss | 注册在app.json
-----|------|--------------|------|---------------
1 | /pages/login/index | OK | 有 | 是
2 | /pages/workbench/index | OK | 有 | 是
3 | /pages/credentials/index | OK | 有 | 是
4 | /pages/credential-submit/index | OK | 有 | 是
4-v1 | /pages/credential-submit/form | OK | 有 | 是
5 | /pages/detecting/index | OK | 有 | 是
6 | /pages/report/index | OK | 有 | 是
7 | /pages/report-failed/index | OK | 有 | 是
8 | /pages/quotes/index | OK | 有 | 是
9 | /pages/quote-models/index | OK | 有 | 是
10 | /pages/profile-edit/index | OK | 有 | 是
10.1 | /pages/profile/index | OK | 有 | 是
11 | /pages/model-pricing/index | OK | 有 | 是
12 | /pages/quote-preview/index | OK | 有 | 是
12-v1 | /pages/quote-form/index | OK | 无(该页无样式) | 是
12-v2 | /pages/quote-form/apikey | OK | 无(该页无样式) | 是
12-v3 | /pages/quote-form/success | OK | 有 | 是
15 | /pages/contract/index | OK | 有 | 是
20 | /pages/messages/index | OK | 有 | 是
21 | /pages/mine/index | OK | 有 | 是
22 | /pages/usage/index | OK | 有 | 是
23 | /pages/settings/index | OK | 有 | 是

dist 存在: True · app.json 页面数: 22
总体: 台账全部路由的 mp-weixin 三件套齐备且已注册
