warning: Failed to set cwd to temp dir
[serve] root=E:/workspaces/hioas/hioas-aap-001/aap-client/dist/build/h5 mock=E:/workspaces/hioas/hioas-aap-001/.agents/state/h5-measure/api-22 port=5271
[serve] "GET /api/v1/usage/summary HTTP/1.1" 200 -
[serve] "GET /__measure-usage.html HTTP/1.1" 200 -
[serve] "GET /__measure-usage.html?shot=1 HTTP/1.1" 200 -
[serve] "GET /index.html HTTP/1.1" 200 -
[serve] "GET /assets/uni.95c2b637.css HTTP/1.1" 200 -
[serve] "GET /assets/index-C7PPi8dw.css HTTP/1.1" 200 -
[serve] "GET /assets/index-CK2vzvjC.js HTTP/1.1" 200 -
[serve] "GET /assets/pages-usage-index.Dfe0Ms07.js HTTP/1.1" 200 -
[serve] "GET /assets/index-CSPhU93c.css HTTP/1.1" 200 -
[serve] "GET /assets/usage.C52auyTj.js HTTP/1.1" 200 -
[serve] "GET /assets/_plugin-vue_export-helper.Dvqq_YOj.js HTTP/1.1" 200 -
[serve] "GET /assets/format.Bp9lzcUt.js HTTP/1.1" 200 -
[serve] "GET /assets/base64.C1Wz6WLI.js HTTP/1.1" 200 -
[serve] code 404, message File not found
[serve] "GET /favicon.ico HTTP/1.1" 404 -
[serve] "GET /api/v1/usage/summary?month=2026-09 HTTP/1.1" 200 -
[serve] "GET /__diag-usage-overflow.html HTTP/1.1" 200 -
[serve] "GET /index.html HTTP/1.1" 200 -
[serve] "GET /assets/uni.95c2b637.css HTTP/1.1" 200 -
[serve] "GET /assets/index-C7PPi8dw.css HTTP/1.1" 200 -
[serve] "GET /assets/index-CK2vzvjC.js HTTP/1.1" 200 -
[serve] "GET /assets/pages-usage-index.Dfe0Ms07.js HTTP/1.1" 200 -
[serve] "GET /assets/usage.C52auyTj.js HTTP/1.1" 200 -
[serve] "GET /assets/_plugin-vue_export-helper.Dvqq_YOj.js HTTP/1.1" 200 -
[serve] "GET /assets/format.Bp9lzcUt.js HTTP/1.1" 200 -
[serve] "GET /assets/base64.C1Wz6WLI.js HTTP/1.1" 200 -
