[serve] root=E:/workspaces/hioas/hioas-aap-001/aap-client/dist/build/h5 mock=E:/workspaces/hioas/hioas-aap-001/.agents/state/h5-measure/api-23 port=5287
[serve] "GET /api/v1/auth/me HTTP/1.1" 200 -
[serve] "GET /__measure-settings.html HTTP/1.1" 200 -
[serve] "GET /__measure-settings.html HTTP/1.1" 200 -
[serve] "GET /index.html HTTP/1.1" 200 -
[serve] "GET /assets/uni.95c2b637.css HTTP/1.1" 200 -
[serve] "GET /assets/index-C7PPi8dw.css HTTP/1.1" 200 -
[serve] "GET /assets/index-tuETpYVM.js HTTP/1.1" 200 -
[serve] "GET /assets/index-DDiwlQPO.css HTTP/1.1" 200 -
[serve] "GET /assets/pages-settings-index.wKmReMZt.js HTTP/1.1" 200 -
[serve] "GET /assets/_plugin-vue_export-helper.De-MvgSN.js HTTP/1.1" 200 -
[serve] "GET /assets/auth.A3cXTY69.js HTTP/1.1" 200 -
[serve] "GET /assets/routes.xt3QaTIg.js HTTP/1.1" 200 -
[serve] code 404, message File not found
[serve] "GET /favicon.ico HTTP/1.1" 404 -
[serve] "GET /api/v1/auth/me HTTP/1.1" 200 -
[serve] "GET /__measure-settings.html HTTP/1.1" 200 -
[serve] "GET /index.html HTTP/1.1" 200 -
[serve] "GET /assets/uni.95c2b637.css HTTP/1.1" 200 -
[serve] "GET /assets/index-C7PPi8dw.css HTTP/1.1" 200 -
[serve] "GET /assets/index-tuETpYVM.js HTTP/1.1" 200 -
[serve] "GET /assets/index-DDiwlQPO.css HTTP/1.1" 200 -
[serve] "GET /assets/auth.A3cXTY69.js HTTP/1.1" 200 -
[serve] "GET /assets/pages-settings-index.wKmReMZt.js HTTP/1.1" 200 -
[serve] "GET /assets/_plugin-vue_export-helper.De-MvgSN.js HTTP/1.1" 200 -
[serve] "GET /assets/routes.xt3QaTIg.js HTTP/1.1" 200 -
[serve] code 404, message File not found
[serve] "GET /favicon.ico HTTP/1.1" 404 -
[serve] "GET /api/v1/auth/me HTTP/1.1" 200 -
[serve] "GET /__measure-settings.html?noaction=1 HTTP/1.1" 200 -
[serve] "GET /index.html HTTP/1.1" 200 -
[serve] "GET /assets/uni.95c2b637.css HTTP/1.1" 200 -
[serve] "GET /assets/index-C7PPi8dw.css HTTP/1.1" 200 -
[serve] "GET /assets/index-tuETpYVM.js HTTP/1.1" 200 -
[serve] "GET /assets/pages-settings-index.wKmReMZt.js HTTP/1.1" 200 -
[serve] "GET /assets/auth.A3cXTY69.js HTTP/1.1" 200 -
[serve] "GET /assets/_plugin-vue_export-helper.De-MvgSN.js HTTP/1.1" 200 -
[serve] "GET /assets/index-DDiwlQPO.css HTTP/1.1" 200 -
[serve] "GET /assets/routes.xt3QaTIg.js HTTP/1.1" 200 -
[serve] "GET /api/v1/auth/me HTTP/1.1" 200 -
[serve] code 404, message File not found
[serve] "GET /favicon.ico HTTP/1.1" 404 -
[serve] "GET /__measure-settings.html?scenario=back HTTP/1.1" 200 -
[serve] "GET /index.html HTTP/1.1" 200 -
[serve] "GET /assets/index-C7PPi8dw.css HTTP/1.1" 200 -
[serve] "GET /assets/uni.95c2b637.css HTTP/1.1" 200 -
[serve] "GET /assets/index-tuETpYVM.js HTTP/1.1" 200 -
[serve] "GET /assets/pages-settings-index.wKmReMZt.js HTTP/1.1" 200 -
[serve] "GET /assets/auth.A3cXTY69.js HTTP/1.1" 200 -
[serve] "GET /assets/_plugin-vue_export-helper.De-MvgSN.js HTTP/1.1" 200 -
[serve] "GET /assets/index-DDiwlQPO.css HTTP/1.1" 200 -
[serve] "GET /assets/routes.xt3QaTIg.js HTTP/1.1" 200 -
[serve] "GET /api/v1/auth/me HTTP/1.1" 200 -
[serve] code 404, message File not found
[serve] "GET /favicon.ico HTTP/1.1" 404 -
[serve] "GET /index.html HTTP/1.1" 304 -
[serve] "GET /api/v1/auth/me HTTP/1.1" 200 -
[serve] "GET /__measure-settings.html?scenario=identity HTTP/1.1" 200 -
[serve] "GET /index.html HTTP/1.1" 200 -
[serve] "GET /assets/uni.95c2b637.css HTTP/1.1" 200 -
[serve] "GET /assets/index-C7PPi8dw.css HTTP/1.1" 200 -
[serve] "GET /assets/index-tuETpYVM.js HTTP/1.1" 200 -
[serve] "GET /assets/pages-settings-index.wKmReMZt.js HTTP/1.1" 200 -
[serve] "GET /assets/auth.A3cXTY69.js HTTP/1.1" 200 -
[serve] "GET /assets/index-DDiwlQPO.css HTTP/1.1" 200 -
[serve] "GET /assets/_plugin-vue_export-helper.De-MvgSN.js HTTP/1.1" 200 -
[serve] "GET /assets/routes.xt3QaTIg.js HTTP/1.1" 200 -
[serve] code 404, message File not found
[serve] "GET /favicon.ico HTTP/1.1" 404 -
[serve] "GET /api/v1/auth/me HTTP/1.1" 200 -
[serve] "GET /assets/pages-profile-index.CFJMj1VC.js HTTP/1.1" 200 -
[serve] "GET /assets/provider.CWnWQnK2.js HTTP/1.1" 200 -
[serve] "GET /assets/index-D_ZSkb6F.css HTTP/1.1" 200 -
[serve] "GET /assets/profile-edit-model.DFi_QKjR.js HTTP/1.1" 200 -
[serve] "GET /assets/profile-model.DmzTl61u.js HTTP/1.1" 200 -
[serve] "GET /api/v1/provider/profile HTTP/1.1" 404 -
[serve] "GET /api/v1/provider/qualifications HTTP/1.1" 404 -
[serve] "GET /__measure-settings.html?scenario=legal HTTP/1.1" 200 -
[serve] "GET /index.html HTTP/1.1" 200 -
[serve] "GET /assets/uni.95c2b637.css HTTP/1.1" 200 -
[serve] "GET /assets/index-C7PPi8dw.css HTTP/1.1" 200 -
[serve] "GET /assets/index-tuETpYVM.js HTTP/1.1" 200 -
[serve] "GET /assets/pages-settings-index.wKmReMZt.js HTTP/1.1" 200 -
[serve] "GET /assets/auth.A3cXTY69.js HTTP/1.1" 200 -
[serve] "GET /assets/_plugin-vue_export-helper.De-MvgSN.js HTTP/1.1" 200 -
[serve] "GET /assets/routes.xt3QaTIg.js HTTP/1.1" 200 -
[serve] "GET /assets/index-DDiwlQPO.css HTTP/1.1" 200 -
[serve] "GET /api/v1/auth/me HTTP/1.1" 200 -
[serve] code 404, message File not found
[serve] "GET /favicon.ico HTTP/1.1" 404 -
[serve] "GET /__measure-settings.html?scenario=account HTTP/1.1" 200 -
[serve] "GET /index.html HTTP/1.1" 200 -
[serve] "GET /assets/uni.95c2b637.css HTTP/1.1" 200 -
[serve] "GET /assets/index-C7PPi8dw.css HTTP/1.1" 200 -
[serve] "GET /assets/index-tuETpYVM.js HTTP/1.1" 200 -
[serve] "GET /assets/index-DDiwlQPO.css HTTP/1.1" 200 -
[serve] "GET /assets/pages-settings-index.wKmReMZt.js HTTP/1.1" 200 -
[serve] "GET /assets/auth.A3cXTY69.js HTTP/1.1" 200 -
[serve] "GET /assets/routes.xt3QaTIg.js HTTP/1.1" 200 -
[serve] "GET /assets/_plugin-vue_export-helper.De-MvgSN.js HTTP/1.1" 200 -
[serve] code 404, message File not found
[serve] "GET /favicon.ico HTTP/1.1" 404 -
[serve] "GET /api/v1/auth/me HTTP/1.1" 200 -
[serve] "GET /__measure-settings.html?scenario=toggle HTTP/1.1" 200 -
[serve] "GET /index.html HTTP/1.1" 200 -
[serve] "GET /assets/uni.95c2b637.css HTTP/1.1" 200 -
[serve] "GET /assets/index-C7PPi8dw.css HTTP/1.1" 200 -
[serve] "GET /assets/index-tuETpYVM.js HTTP/1.1" 200 -
[serve] "GET /assets/index-DDiwlQPO.css HTTP/1.1" 200 -
[serve] "GET /assets/pages-settings-index.wKmReMZt.js HTTP/1.1" 200 -
[serve] "GET /assets/auth.A3cXTY69.js HTTP/1.1" 200 -
[serve] "GET /assets/_plugin-vue_export-helper.De-MvgSN.js HTTP/1.1" 200 -
[serve] "GET /assets/routes.xt3QaTIg.js HTTP/1.1" 200 -
[serve] code 404, message File not found
[serve] "GET /favicon.ico HTTP/1.1" 404 -
[serve] "GET /api/v1/auth/me HTTP/1.1" 200 -
[serve] "GET /__measure-settings.html?scenario=logout HTTP/1.1" 200 -
[serve] "GET /index.html HTTP/1.1" 200 -
[serve] "GET /assets/uni.95c2b637.css HTTP/1.1" 200 -
[serve] "GET /assets/index-tuETpYVM.js HTTP/1.1" 200 -
[serve] "GET /assets/index-C7PPi8dw.css HTTP/1.1" 200 -
[serve] "GET /assets/index-DDiwlQPO.css HTTP/1.1" 200 -
[serve] "GET /assets/pages-settings-index.wKmReMZt.js HTTP/1.1" 200 -
[serve] "GET /assets/auth.A3cXTY69.js HTTP/1.1" 200 -
[serve] "GET /assets/_plugin-vue_export-helper.De-MvgSN.js HTTP/1.1" 200 -
[serve] "GET /assets/routes.xt3QaTIg.js HTTP/1.1" 200 -
[serve] "GET /api/v1/auth/me HTTP/1.1" 200 -
[serve] code 404, message File not found
[serve] "GET /favicon.ico HTTP/1.1" 404 -
[serve] POST /api/v1/auth/logout body=
[serve] "POST /api/v1/auth/logout HTTP/1.1" 200 -
[serve] "GET /assets/index-C1fBWQGb.css HTTP/1.1" 200 -
[serve] "GET /assets/validators.DYLTe1hq.js HTTP/1.1" 200 -
[serve] "GET /assets/pages-login-index.Dm0PJHU_.js HTTP/1.1" 200 -
[serve] "GET /__measure-settings.html?scenario=logout-cancel HTTP/1.1" 200 -
[serve] "GET /index.html HTTP/1.1" 200 -
[serve] "GET /assets/uni.95c2b637.css HTTP/1.1" 200 -
[serve] "GET /assets/index-tuETpYVM.js HTTP/1.1" 200 -
[serve] "GET /assets/index-C7PPi8dw.css HTTP/1.1" 200 -
[serve] "GET /assets/index-DDiwlQPO.css HTTP/1.1" 200 -
[serve] "GET /assets/pages-settings-index.wKmReMZt.js HTTP/1.1" 200 -
[serve] "GET /assets/auth.A3cXTY69.js HTTP/1.1" 200 -
[serve] "GET /assets/_plugin-vue_export-helper.De-MvgSN.js HTTP/1.1" 200 -
[serve] "GET /assets/routes.xt3QaTIg.js HTTP/1.1" 200 -
[serve] code 404, message File not found
[serve] "GET /favicon.ico HTTP/1.1" 404 -
[serve] "GET /api/v1/auth/me HTTP/1.1" 200 -
